DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2010,15790,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2011,15244,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2012,15450,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2013,15244,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2014,15484,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2015,15243,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2016,15392,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2017,15543,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2018,15751,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2019,15401,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2020,15811,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EE,2021,18587,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2010,109084,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2011,111099,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2012,116668,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2013,111794,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2014,113740,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2015,121183,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2016,118788,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2017,124501,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2018,120296,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2019,124965,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2020,131047,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EL,2021,143923,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2010,380234,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2011,386017,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2012,401122,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2013,388600,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2014,393734,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2015,420408,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2016,408231,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2017,422037,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2018,425153,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2019,416102,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2020,492447,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,ES,2021,449149,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2010,4344647,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2011,4318817,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2012,4441347,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2013,4419258,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2014,4372607,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2015,4620411,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2016,4534200,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2017,4660917,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2018,4694628,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2019,4653033,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2020,5184078,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,EU27_2020,2021,5297294,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2010,50887,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2011,50585,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2012,51707,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2013,51472,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2014,52186,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2015,52492,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2016,53923,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2017,53722,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2018,54527,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2019,53949,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2020,55488,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FI,2021,57659,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2010,551369,
